# pt      central
   0.0000 0.0000e+00
   0.2020 1.6782e+06
   0.4040 3.2560e+06
   0.6061 4.7403e+06
   0.8081 6.1129e+06
   1.0101 7.3513e+06
   1.2121 8.4416e+06
   1.4141 9.3774e+06
   1.6162 1.0157e+07
   1.8182 1.0787e+07
   2.0202 1.1271e+07
   2.2222 1.1620e+07
   2.4242 1.1843e+07
   2.6263 1.1953e+07
   2.8283 1.1960e+07
   3.0303 1.1877e+07
   3.2323 1.1716e+07
   3.4343 1.1490e+07
   3.6364 1.1208e+07
   3.8384 1.0882e+07
   4.0404 1.0520e+07
   4.2424 1.0131e+07
   4.4444 9.7238e+06
   4.6465 9.3047e+06
   4.8485 8.8803e+06
   5.0505 8.4555e+06
   5.2525 8.0347e+06
   5.4545 7.6215e+06
   5.6566 7.2185e+06
   5.8586 6.8280e+06
   6.0606 6.4515e+06
   6.2626 6.0902e+06
   6.4646 5.7447e+06
   6.6667 5.4154e+06
   6.8687 5.1026e+06
   7.0707 4.8059e+06
   7.2727 4.5254e+06
   7.4747 4.2604e+06
   7.6768 4.0105e+06
   7.8788 3.7752e+06
   8.0808 3.5538e+06
   8.2828 3.3457e+06
   8.4848 3.1502e+06
   8.6869 2.9667e+06
   8.8889 2.7945e+06
   9.0909 2.6329e+06
   9.2929 2.4814e+06
   9.4949 2.3393e+06
   9.6970 2.2061e+06
   9.8990 2.0812e+06
  10.1010 1.9640e+06
  10.3030 1.8541e+06
  10.5051 1.7510e+06
  10.7071 1.6543e+06
  10.9091 1.5636e+06
  11.1111 1.4784e+06
  11.3131 1.3985e+06
  11.5152 1.3234e+06
  11.7172 1.2530e+06
  11.9192 1.1868e+06
  12.1212 1.1246e+06
  12.3232 1.0660e+06
  12.5253 1.0108e+06
  12.7273 9.5891e+05
  12.9293 9.1003e+05
  13.1313 8.6398e+05
  13.3333 8.2059e+05
  13.5354 7.7970e+05
  13.7374 7.4116e+05
  13.9394 7.0481e+05
  14.1414 6.7053e+05
  14.3434 6.3819e+05
  14.5455 6.0766e+05
  14.7475 5.7879e+05
  14.9495 5.5149e+05
  15.1515 5.2566e+05
  15.3535 5.0122e+05
  15.5556 4.7808e+05
  15.7576 4.5616e+05
  15.9596 4.3540e+05
  16.1616 4.1572e+05
  16.3636 3.9707e+05
  16.5657 3.7938e+05
  16.7677 3.6260e+05
  16.9697 3.4668e+05
  17.1717 3.3156e+05
  17.3737 3.1721e+05
  17.5758 3.0358e+05
  17.7778 2.9063e+05
  17.9798 2.7832e+05
  18.1818 2.6661e+05
  18.3838 2.5548e+05
  18.5859 2.4488e+05
  18.7879 2.3479e+05
  18.9899 2.2518e+05
  19.1919 2.1603e+05
  19.3939 2.0730e+05
  19.5960 1.9899e+05
  19.7980 1.9106e+05
  20.0000 1.8349e+05
